Year,United States,Russia,Iran,China,Canada,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Cameroon,Chile,Colombia,Congo,Cote d'Ivoire,Croatia,Cuba,Czechia,Czechoslovakia,Denmark,East Timor,Ecuador,Egypt,Equatorial Guinea,France,Gabon,Georgia,Germany,Ghana,Greece,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Libya,Malaysia,Mexico,Moldova,Morocco,Mozambique,Myanmar,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Qatar,Romania,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,Vietnam,World,Yemen,Yugoslavia
1912,0.613042452,,0,0,0.014587578,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.627629976,,0
1913,0.642873348,,0,0,0.014911434,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.657784764,,0
1914,0.672704244,,0,0,0.015235289,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.687939516,,0
1915,0.702535212,,0,0,0.015559146,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.718094304,,0
1916,0.732366108,,0,0,0.015883,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.748249128,,0
1917,0.76219704,,0,0,0.016206856,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.778403916,,0
1918,0.792027972,,0,0,0.01653071,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.808558704,,0
1919,0.821858904,,0,0,0.016854566,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.838713492,,0
1920,0.8516898,,0,0,0.017178422,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.86886828,,0
1921,0.881520732,,0,0,0.017502278,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.899023032,,0
1922,0.911351664,,0,0,0.017826133,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.004725773,0,0,0,0,0.001219196,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.012443112,0,0.009630432,0,,,,,,0,0.001732144,0,0,0,,,0,0,0,0,,0.000781634,0,0,0,,0,,0.95971014,,0
1923,1.0674828,,0,0,0.019663661,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.006503356,0,0,0,0,0.00120565,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.012772211,0,0.012189145,0,,,,,,0,0.002049704,0,0,0,,,0,0,0,0,,0.002580632,0,0,0,,0,,1.124447292,,0
1924,1.22361408,,0,0,0.021501188,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.008280941,0,0,0,0,0.001192103,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.013101311,0,0.014747857,0,,,,,,0,0.002367264,0,0,0,,,0,0,0,0,,0.00437963,0,0,0,,0,,1.289184408,,0
1925,1.379745252,,0,0,0.023338717,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.010058525,0,0,0,0,0.001178556,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.013430411,0,0.017306571,0,,,,,,0,0.002684824,0,0,0,,,0,0,0,0,,0.006178628,0,0,0,,0,,1.45392156,,0
1926,1.53587646,,0,0,0.025176244,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.011836109,0,0,0,0,0.00116501,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.013759511,0,0.019865285,0,,,,,,0,0.003002383,0,0,0,,,0,0,0,0,,0.007977626,0,0,0,,0,,1.61865864,,0
1927,1.692007704,,0,0,0.027013773,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.013613693,0,0,0,0,0.001151463,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.014088612,0,0.022423997,0,,,,,,0,0.003319943,0,0,0,,,0,0,0,0,,0.009776624,0,0,0,,0,,1.783395828,,0
1928,1.84813902,,0,0,0.0288513,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.015391278,0,0,0,0,0.001137916,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.01441771,0,0.024982709,0,,,,,,0,0.003637503,0,0,0,,,0,0,0,0,,0.011575623,0,0,0,,0,,1.94813316,,0
1929,1.931480856,,0,0,0.029808785,0,0,0,0,0.010386396,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.017934811,0,0,0,0,0.001228227,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.014671936,0,0.031161229,0,,,,,,0,0.003964686,0,0,0.002991544,,,0,0.005797011,0,0,,0.019156229,0,0,0,,0,,2.0685816,,0
1930,2.014822908,,0,0,0.03076627,0,0,0,0,0.011549556,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.020478348,0,0,0,0,0.001318538,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.014926162,0,0.037339747,0,,,,,,0,0.004291869,0,0,0,,,0,0.006408076,0,0,,0.026736835,0,0,0,,0,,2.168638344,,0
1931,2.09816478,,0,0,0.031723758,0,0,0,0,0.012712716,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.023021881,0,0,0,0,0.001408849,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.015180386,0,0.043518269,0,,,,,,0,0.004619051,0,0,0,,,0,0.007019142,0,0,,0.034317439,0,0,0,,0,,2.2716864,,0
1932,2.181506616,,0,0,0.032681243,0,0,0,0,0.013875877,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.025565418,0,0,0,0,0.00149916,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.015434611,0,0.04969679,0,,,,,,0,0.004946234,0,0,0,,,0,0.007630207,0,0,,0.041898049,0,0,0,,0,,2.374734384,,0
